Rank,Prob,Token,BA Eta,Eta,Epsilon,Nucleus
30,0.0021956760901957,' Sw',False,True,False,True
39,0.0018679138738662,"' ""'",False,True,False,False
42,0.0017108620377257,' D',False,False,False,False
45,0.0016399475280195,' St',False,False,False,False
46,0.0016078439075499,' C',False,False,False,False
51,0.0014729450922459,' J',False,False,False,False
52,0.0013266205787658,' Price',False,False,False,False
53,0.0013235113583505,' T',False,False,False,False
54,0.0013089036801829,' Le',False,False,False,False
55,0.0013065316015854,' S',False,False,False,False
56,0.0012605203082785,' White',False,False,False,False
57,0.0012542326003313,' Ward',False,False,False,False
58,0.0012540627503767,' V',False,False,False,False
59,0.0012168107787147,' Ham',False,False,False,False
60,0.0012150979600846,' Lee',False,False,False,False
62,0.0011271801777184,' Martin',False,False,False,False
63,0.0010894379811361,' told',False,False,False,False
64,0.0010531437583267,' E',False,False,False,False
65,0.0010436769807711,' Beck',False,False,False,False
66,0.0010381258325651,' Brand',False,False,False,False
67,0.0010251803323626,' Hart',False,False,False,False
68,0.0010166907450184,' A',False,False,False,False
69,0.0009940464515239,' Armstrong',False,False,False,False
70,0.0009753940394148,' Williams',False,False,False,False
71,0.0009664740064181,' Rose',False,False,False,False
72,0.0009509372175671,' may',False,False,False,False
73,0.0009439028217457,' of',False,False,False,False
74,0.0009438430424779,' Gu',False,False,False,False
75,0.0009290784946642,' Anderson',False,False,False,False
76,0.0008847545832395,' Bell',False,False,False,False
77,0.000880824169144,' doesn',False,False,False,False
78,0.0008687956724315,' Decker',False,False,False,False
79,0.0008486376027576,' Hansen',False,False,False,False
80,0.0008413495961576,' Davis',False,False,False,False
81,0.0008394773467443,' also',False,False,False,False
